cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover
F1_cubic,68,0.04687213902070653,0.5,0.35316491389206944,0.17210940629871918,0.554931640625,0.023170515361034247,0.003657838390110402,64,0.0619236816776077,0.054931640625,1.0,0.12523726727801265,0.0
F1_cubic,69,0.04687213902070653,0.5,0.37748803270952097,0.15993146052773208,0.5413818359375,0.0234129579233361,0.0038492341624472124,68,0.0564397759345329,0.0413818359375,1.0,0.11305932150702555,0.0
F1_cubic,70,0.04687213902070653,0.5,0.37080360224315223,0.15876823907938548,0.5263671875,0.023427867287203755,0.003813350002436139,70,0.059003244469991,0.0263671875,1.0,0.11189610005867895,0.0
F1_cubic,71,0.04687213902070653,0.5,0.34497715095679093,0.13604975538050518,0.4599609375,0.021638038630353525,0.0035609730030157754,54,0.05331660692176064,-0.0400390625,1.0,0.08917761635979865,0.0
F1_cubic,72,0.04687213902070653,0.5,0.35584303755864666,0.1657342627090801,0.5294189453125,0.023281253123385914,0.0037953185100577593,70,0.05886480208635859,0.0294189453125,1.0,0.11886212368837357,0.0
F1_cubic,73,0.04687213902070653,0.5,0.3490653921037383,0.15678648491378586,0.5159912109375,0.023469242510524114,0.003794583422068241,67,0.05648719226391262,0.0159912109375,1.0,0.10991434589307933,0.0
F1_cubic,74,0.04687213902070653,0.5,0.36109160694255266,0.1428073553940555,0.4796142578125,0.022505576001945894,0.003722564641405428,80,0.06940916989959979,-0.0203857421875,1.0,0.09593521637334898,0.0
F1_cubic,75,0.04687213902070653,0.5,0.36849331637998994,0.17320899577351273,0.52587890625,0.023919889445097056,0.003959016625685302,74,0.06037832247897539,0.02587890625,1.0,0.1263368567528062,0.0
F1_cubic,76,0.04687213902070653,0.5,0.3581715329396347,0.14195513584788128,0.499267578125,0.022351739768481583,0.0037368062715573153,64,0.05742680795306839,-0.000732421875,1.0,0.09508299682717475,0.0
F1_cubic,77,0.04687213902070653,0.5,0.3669907812445143,0.15208230886825527,0.5079345703125,0.022944835453978712,0.0038004805338468094,77,0.06421526767537505,0.0079345703125,1.0,0.10521016984754875,0.0
F1_cubic,78,0.04687213902070653,0.5,0.3449022428185623,0.1292604388126467,0.459228515625,0.020897834413836847,0.003779795724558416,71,0.05915093378772726,-0.040771484375,1.0,0.08238829979194018,0.0
F1_cubic,79,0.04687213902070653,0.5,0.3254961681645767,0.1305758579240046,0.45849609375,0.020764887848472587,0.0036508502744806706,52,0.05217433038983074,-0.04150390625,1.0,0.08370371890329809,0.0
F1_cubic,80,0.04687213902070653,0.5,0.3635885369556968,0.13447044673610575,0.4326171875,0.020099047694753243,0.003969678876296001,67,0.05902752488039506,-0.0673828125,1.0,0.08759830771539923,0.0
F1_cubic,81,0.04687213902070653,0.5,0.35961740080484933,0.13109387496381103,0.4515380859375,0.021747218166059366,0.0038108735444644633,61,0.060372803600023436,-0.0484619140625,1.0,0.0842217359431045,0.0
F1_cubic,82,0.04687213902070653,0.5,0.33317003196185246,0.14262345329065082,0.5013427734375,0.021388930027160972,0.0035859158795723827,67,0.06552523325529379,0.0013427734375,1.0,0.0957513142699443,0.0
F1_cubic,83,0.04687213902070653,0.5,0.4084584750677016,0.16367369286016883,0.5018310546875,0.0229602285351863,0.004187366740679404,88,0.06704665280098951,0.0018310546875,1.0,0.11680155383946231,0.0
F1_cubic,84,0.04687213902070653,0.5,0.3388233891229155,0.11287609838512286,0.424072265625,0.020304458644719966,0.003405646704662417,68,0.0633019070628067,-0.075927734375,1.0,0.06600395936441633,0.0
F1_cubic,85,0.04687213902070653,0.5,0.39197399984876086,0.14766450845194673,0.492431640625,0.022138611814828207,0.003996027784414418,68,0.05322725865280846,-0.007568359375,1.0,0.1007923694312402,0.0
F1_cubic,86,0.04687213902070653,0.5,0.3651231547956858,0.134239411660262,0.4859619140625,0.021857151932520212,0.0035497199487228744,76,0.06850918190026653,-0.0140380859375,1.0,0.08736727263955546,0.0
F1_cubic,87,0.04687213902070653,0.5,0.40819782262984233,0.15048414223653245,0.47265625,0.02184257242490964,0.004316453479408048,74,0.05653231055282199,-0.02734375,1.0,0.10361200321582592,0.0
F1_cubic,88,0.04687213902070653,0.5,0.34442276540924116,0.13659727915486358,0.5045166015625,0.022695412691357365,0.003716584930164943,64,0.05824911630473197,0.0045166015625,1.0,0.08972514013415706,0.0
F1_cubic,89,0.04687213902070653,0.5,0.38730736537479427,0.15096250145863058,0.51171875,0.02225016505647506,0.004016906849711961,59,0.05304193116558076,0.01171875,1.0,0.10409036243792405,0.0
F1_cubic,90,0.04687213902070653,0.5,0.3571390046080534,0.13066127061934804,0.4793701171875,0.023089930044215168,0.0036315592876294688,55,0.051279083685284006,-0.0206298828125,1.0,0.08378913159864151,0.0
F1_cubic,91,0.04687213902070653,0.5,0.35206122077188423,0.16579297645620228,0.5228271484375,0.02445216360676183,0.0038326967828110387,78,0.07001885061844786,0.0228271484375,1.0,0.11892083743549575,0.0
F1_cubic,92,0.04687213902070653,0.5,0.400557700707997,0.11361825287034809,0.4102783203125,0.01980594441452027,0.004156680930675094,74,0.056616331668793235,-0.0897216796875,1.0,0.06674611384964156,0.0
F1_cubic,93,0.04687213902070653,0.5,0.37642504672341054,0.12514823562108873,0.4410400390625,0.019925604906350574,0.003756777244411573,59,0.054526137493534084,-0.0589599609375,1.0,0.0782760966003822,0.0
F1_cubic,94,0.04687213902070653,0.5,0.3648546136263819,0.1137270215860445,0.4447021484375,0.02111364434118785,0.0037724427913696373,59,0.05605205195940368,-0.0552978515625,1.0,0.06685488256533798,0.0
F1_cubic,95,0.04687213902070653,0.5,0.3584923695333438,0.14454404311761032,0.505126953125,0.023092398190301882,0.00358227942864815,81,0.0659612182438402,0.005126953125,1.0,0.0976719040969038,0.0
F1_cubic,96,0.04687213902070653,0.5,0.39851467813630176,0.1665734180367478,0.48291015625,0.021079263182687744,0.004234094858925521,71,0.061788550981801346,-0.01708984375,1.0,0.11970127901604127,0.0
F1_cubic,97,0.04687213902070653,0.5,0.37784467946625444,0.15926044261327155,0.527587890625,0.02364664312200259,0.0039078424746838755,67,0.0548416890434479,0.027587890625,1.0,0.11238830359256502,0.0
F1_cubic,98,0.04687213902070653,0.5,0.36224083231608634,0.12445519787586518,0.4459228515625,0.02146191602060188,0.0037882145906442655,64,0.05802596187792561,-0.0540771484375,1.0,0.07758305885515865,0.0
