variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_full,1.0,31,7,1.0,0.3054428200158151,0.168654170356262,0.5238037109375,0.023345590168069714,0.003790810037306457,84,0.062249399282440214,0.1343209600606466,0.11927378683678294,0.5697479248046875,-0.0459442138671875,1.0,0.04938038351947907,0.0,0.015047173223863647,1.0
screen_split,1.0,31,7,1.0,0.3751931410906973,0.20796322813011153,0.531494140625,0.03235061819072523,0.004494733275599721,69,0.06329024847727462,0.15187029973400498,0.11927378683678294,0.5697479248046875,-0.0382537841796875,1.0,0.08868944129332859,0.0,0.03259651289722204,1.0
screen_full,1.0,32,8,1.0,0.2668005409998025,0.14817622234819006,0.5069580078125,0.02317599728234357,0.0033927792090511343,78,0.06879297109165375,0.10707874936387111,0.11927378683678294,0.5697479248046875,-0.0627899169921875,1.0,0.028902435511407115,1.0,-0.012195037472911827,1.0
screen_split,1.0,32,7,1.0,0.38617667407390494,0.1588919895116522,0.5037841796875,0.031044955055961717,0.00407649567099377,70,0.07098393985608266,0.09163107525673875,0.11927378683678294,0.5697479248046875,-0.0659637451171875,1.0,0.03961820267486926,1.0,-0.027642711580044194,1.0
screen_full,1.0,33,2,1.0,0.15781695029751172,0.12904998594163947,0.5845947265625,0.023924189579944435,0.002597916361856426,54,0.08299891523256824,0.11081921155995189,0.11927378683678294,0.5697479248046875,0.0148468017578125,1.0,0.009776199104856526,1.0,-0.00845457527683105,1.0
screen_split,1.0,33,3,1.0,0.3538294448390003,0.17119229083749046,0.5538330078125,0.031711342248639154,0.004137299969059938,87,0.0918524641100241,0.11821938512588936,0.11927378683678294,0.5697479248046875,-0.0159149169921875,1.0,0.05191850400070752,1.0,-0.0010544017108935766,1.0
screen_full,1.0,34,3,1.0,0.23111595900685855,0.14559196328166682,0.5418701171875,0.022074820392666547,0.0033404124919679235,50,0.05172701151536542,0.12115778124879048,0.11927378683678294,0.5697479248046875,-0.0278778076171875,1.0,0.02631817644488388,1.0,0.0018839944120075391,1.0
screen_split,1.0,34,5,1.0,0.3798465631199479,0.24491667249219468,0.6248779296875,0.035937534976015,0.004641606874483408,64,0.06201934258582254,0.18289052944920134,0.11927378683678294,0.5697479248046875,0.0551300048828125,1.0,0.12564288565541173,0.0,0.0636167426124184,1.0
screen_full,1.0,35,6,1.0,0.2593392573218777,0.14420369472618588,0.52587890625,0.02247909090639875,0.0032042300582356483,82,0.07274372501063012,0.10967759732301577,0.11927378683678294,0.5697479248046875,-0.0438690185546875,1.0,0.02492990788940294,1.0,-0.009596189513767173,1.0
screen_split,1.0,35,4,1.0,0.3065564613117497,0.17749083018165512,0.62890625,0.03499294386599536,0.003487727103496275,63,0.07309693657962983,0.1230788420769499,0.11927378683678294,0.5697479248046875,0.0591583251953125,1.0,0.05821704334487218,1.0,0.0038050552401669574,1.0
screen_full,1.0,36,9,1.0,0.3022401452525898,0.16432845508988086,0.552734375,0.024064944076615268,0.0035094058023212725,72,0.06017180139688428,0.12682800445962666,0.11927378683678294,0.5697479248046875,-0.0170135498046875,1.0,0.045054668253097924,1.0,0.007554217622843723,1.0
