label,n,K,dim,W_hat,W_se,V_hat,V_se,h_rmse,eps_band,n_band,rep,W_true,V_true,dgp,feat_q,gamma,W_dev,V_dev,n_varV,W_cover,V_cover
A_dense_d10_n1000_K50,1000,50,10,0.34680088714992746,0.049937326516576216,0.5474853515625,0.04986321628172926,0.7448484996902391,0.008154101663917055,62,41,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0058547057094403,-0.0365142822265625,2.48634033795851,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3578189299212017,0.0518811459805645,0.5955810546875,0.06707107821614028,0.575775132439424,0.007375044560266433,80,42,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.016872748480714517,0.0115814208984375,4.498529533075607,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5069664353437595,0.05954029459970874,0.6607666015625,0.04643231538815773,0.6864564991591487,0.008732120175567211,56,43,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.16602025390327235,0.0767669677734375,2.1559599123053492,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5607918753677024,0.05807702702945491,0.63427734375,0.041500217838327504,0.6770794594953814,0.009278531695587431,62,44,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.2198456939272152,0.0502777099609375,1.7222680806286363,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4972774768938746,0.054618237736374343,0.63720703125,0.0419807556528884,0.6379520408499353,0.00808543123947173,48,45,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.15633129545338742,0.0532073974609375,1.7623838451875211,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4053490868913505,0.05364717087709872,0.5501708984375,0.03926625588080147,0.6185849591844768,0.009181746415492905,60,46,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.06440290545086336,-0.0338287353515625,1.5418388508965764,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4939232647626435,0.05553442560383145,0.6104736328125,0.047340239565168384,0.6577857827629955,0.009051881562244693,69,47,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.15297708332215632,0.0264739990234375,2.241098282087534,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.41395329421109406,0.052426190417144296,0.5784912109375,0.0462380304822156,0.5761619668874534,0.008601227750499776,67,48,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0730071127706069,-0.0055084228515625,2.137955462874299,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.44854597804358015,0.059083916864243996,0.6385498046875,0.047290863943595995,0.6219850936299866,0.008305775548300328,55,49,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.10759979660309299,0.0545501708984375,2.236425812531708,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4340564980195869,0.0554418358484483,0.5791015625,0.05026596757224171,0.6777144360703307,0.009102855087240047,69,50,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.09311031657909974,-0.0048980712890625,2.526667495973655,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.34685646498504497,0.05280059944888285,0.5328369140625,0.0394521516569488,0.6454445750840487,0.007930168999672227,52,51,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.005910283544557804,-0.0511627197265625,1.556472270362888,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.49872985173213386,0.05775994236499283,0.6229248046875,0.053058320648029914,0.6599155993745017,0.008882494338148814,74,52,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1577836702916467,0.0389251708984375,2.8151853899891575,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.35478711441799404,0.050792734371399216,0.5418701171875,0.0484127628522732,0.6332926463565692,0.008111511563796804,54,53,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.013840932977506881,-0.0421295166015625,2.343795606990444,1.0,1.0
